"","X.strike.","X.strikedate.","X.nummentions."
"1","strike","strikedate","nummentions"
"490","65","18977","0"
"491","65","18978","0"
"492","66","18977","0"
"493","67","18976","0"
"494","68","18975","0"
"495","69","18975","0"
"496","70","18974","0"
"497","70","18975","0"
"498","70","18976","0"
"499","70","18977","0"
"500","70","18978","0"
"501","70","18979","0"
"502","70","18980","0"
"503","70","18981","0"
"504","70","18982","0"
"505","70","18983","0"
"506","70","18984","0"
"507","70","18985","0"
"508","70","18986","0"
"509","70","18987","0"
"510","70","18988","0"
"511","70","18989","0"
"512","70","18990","0"
"513","70","18991","0"
"514","70","18992","0"
"515","70","18993","0"
"516","70","18994","0"
"517","70","18995","0"
"518","70","18996","0"
"519","70","18997","0"
"520","70","18998","0"
"521","70","18999","0"
"522","70","19000","0"
"523","70","19001","0"
"524","70","19002","0"
"525","70","19003","0"
"526","70","19004","0"
"527","70","19005","0"
"528","70","19006","5"
"529","70","19007","5"
"530","70","19008","0"
"531","70","19009","0"
"532","70","19010","0"
"533","70","19011","0"
"534","70","19012","0"
"535","70","19013","0"
"536","70","19014","0"
"537","70","19015","0"
"538","70","19016","0"
"539","70","19017","1"
"540","71","18974","0"
"541","72","18973","0"
"542","73","18972","0"
"543","74","18971","0"
"544","75","18971","1"
"545","76","18970","179"
"546","77","18970","40"
"547","77","18971","0"
"548","77","18972","0"
"549","77","18973","0"
"550","77","18974","0"
"551","77","18975","0"
"552","77","18976","0"
"553","77","18977","0"
"554","78","18970","40"
"555","78","18971","0"
"556","78","18972","0"
"557","78","18973","0"
"558","78","18974","0"
"559","78","18975","0"
"560","78","18976","0"
"561","78","18977","0"
"562","79","18970","1758"
"563","80","18969","3042"
"564","81","18969","228"
"565","82","18967","351"
"566","83","18967","226"
"567","83","18968","176"
"568","83","18969","206"
"569","83","18970","267"
"570","83","18971","0"
"571","83","18972","0"
"572","83","18973","0"
"573","83","18974","0"
"574","83","18975","0"
"575","83","18976","0"
"576","83","18977","0"
"577","83","18978","0"
"578","83","18979","0"
"579","83","18980","0"
"580","83","18981","0"
"581","83","18982","0"
"582","83","18983","0"
"583","83","18984","0"
"584","83","18985","0"
"585","83","18986","0"
"586","83","18987","0"
"587","83","18988","0"
"588","83","18989","0"
"589","83","18990","0"
"590","83","18991","0"
"591","83","18992","0"
"592","83","18993","0"
"593","83","18994","0"
"594","83","18995","0"
"595","83","18996","0"
"596","83","18997","0"
"597","83","18998","0"
"598","83","18999","0"
"599","83","19000","0"
"600","83","19001","0"
"601","83","19002","0"
"602","83","19003","0"
"603","83","19004","0"
"604","83","19005","0"
"605","83","19006","1"
"606","83","19007","1"
"607","83","19008","0"
"608","83","19009","0"
"609","83","19010","0"
"610","83","19011","0"
"611","83","19012","0"
"612","83","19013","0"
"613","83","19014","0"
"614","84","18967","226"
"615","84","18968","176"
"616","84","18969","206"
"617","84","18970","267"
"618","84","18971","0"
"619","84","18972","0"
"620","84","18973","0"
"621","84","18974","0"
"622","84","18975","0"
"623","84","18976","0"
"624","84","18977","0"
"625","84","18978","0"
"626","84","18979","0"
"627","84","18980","0"
"628","84","18981","0"
"629","84","18982","0"
"630","84","18983","0"
"631","84","18984","0"
"632","84","18985","0"
"633","84","18986","0"
"634","84","18987","0"
"635","84","18988","0"
"636","84","18989","0"
"637","84","18990","0"
"638","84","18991","0"
"639","84","18992","0"
"640","84","18993","0"
"641","84","18994","0"
"642","84","18995","0"
"643","84","18996","0"
"644","84","18997","0"
"645","84","18998","0"
"646","84","18999","0"
"647","84","19000","0"
"648","84","19001","0"
"649","84","19002","0"
"650","84","19003","0"
"651","84","19004","0"
"652","84","19005","0"
"653","84","19006","1"
"654","84","19007","1"
"655","84","19008","0"
"656","84","19009","0"
"657","84","19010","0"
"658","84","19011","0"
"659","84","19012","0"
"660","84","19013","0"
"661","84","19014","0"
"662","85","18967","226"
"663","85","18968","176"
"664","85","18969","206"
"665","85","18970","267"
"666","85","18971","0"
"667","85","18972","0"
"668","85","18973","0"
"669","85","18974","0"
"670","85","18975","0"
"671","85","18976","0"
"672","85","18977","0"
"673","85","18978","0"
"674","85","18979","0"
"675","85","18980","0"
"676","85","18981","0"
"677","85","18982","0"
"678","85","18983","0"
"679","85","18984","0"
"680","85","18985","0"
"681","85","18986","0"
"682","85","18987","0"
"683","85","18988","0"
"684","85","18989","0"
"685","85","18990","0"
"686","85","18991","0"
"687","85","18992","0"
"688","85","18993","0"
"689","85","18994","0"
"690","85","18995","0"
"691","85","18996","0"
"692","85","18997","0"
"693","85","18998","0"
"694","85","18999","0"
"695","85","19000","0"
"696","85","19001","0"
"697","85","19002","0"
"698","85","19003","0"
"699","85","19004","0"
"700","85","19005","0"
"701","85","19006","1"
"702","85","19007","1"
"703","85","19008","0"
"704","85","19009","0"
"705","85","19010","0"
"706","85","19011","0"
"707","85","19012","0"
"708","85","19013","0"
"709","85","19014","0"
"710","86","18967","0"
"711","86","18968","0"
"712","86","18969","6"
"713","86","18970","7"
"714","86","18971","0"
"715","86","18972","0"
"716","86","18973","0"
"717","86","18974","0"
"718","86","18975","0"
"719","86","18976","0"
"720","86","18977","0"
"721","86","18978","0"
"722","86","18979","0"
"723","86","18980","0"
"724","86","18981","0"
"725","86","18982","0"
"726","86","18983","0"
"727","86","18984","0"
"728","86","18985","0"
"729","86","18986","0"
"730","86","18987","0"
"731","86","18988","0"
"732","86","18989","0"
"733","86","18990","0"
"734","86","18991","0"
"735","86","18992","0"
"736","86","18993","0"
"737","86","18994","0"
"738","86","18995","0"
"739","86","18996","0"
"740","86","18997","0"
"741","86","18998","0"
"742","86","18999","0"
"743","86","19000","0"
"744","86","19001","0"
"745","86","19002","0"
"746","86","19003","0"
"747","86","19004","0"
"748","86","19005","0"
"749","86","19006","0"
"750","86","19007","0"
"751","87","18967","361"
"752","87","18968","284"
"753","87","18969","409"
"754","87","18970","464"
