"","Date","Comments","Users","Posts","Total.Covid.Cases"
"206","2014-03-06",NA,687,NA,NA
"207","2014-03-07",NA,689,NA,NA
"208","2014-03-08",NA,689,NA,NA
"209","2014-03-09",NA,690,NA,NA
"210","2014-03-10",NA,689,NA,NA
"211","2014-03-11",NA,689,NA,NA
"212","2014-03-12",NA,690,NA,NA
"213","2014-03-13",NA,693,NA,NA
"214","2014-03-14",NA,695,NA,NA
"215","2014-03-15",NA,696,NA,NA
"216","2014-03-16",NA,696,NA,NA
"217","2014-03-17",NA,695,NA,NA
"218","2014-03-18",NA,695,NA,NA
"219","2014-03-19",NA,695,NA,NA
"220","2014-03-20",NA,694,NA,NA
"221","2014-03-21",NA,695,NA,NA
"222","2014-03-22",NA,696,NA,NA
"223","2014-03-23",NA,697,NA,NA
"224","2014-03-24",NA,698,NA,NA
"225","2014-03-25",NA,699,NA,NA
"226","2014-03-26",NA,700,NA,NA
"227","2014-03-27",NA,705,NA,NA
"228","2014-03-28",NA,709,NA,NA
"229","2014-03-29",NA,710,NA,NA
"230","2014-03-30",NA,710,NA,NA
"231","2014-03-31",NA,710,NA,NA
"232","2014-04-01",NA,738,NA,NA
"233","2014-04-02",NA,740,NA,NA
"234","2014-04-03",NA,740,NA,NA
"235","2014-04-04",NA,741,NA,NA
"236","2014-04-05",NA,746,NA,NA
"237","2014-04-06",NA,748,NA,NA
"238","2014-04-07",NA,748,NA,NA
"239","2014-04-08",NA,748,NA,NA
"240","2014-04-09",NA,748,NA,NA
"241","2014-04-10",NA,748,NA,NA
"242","2014-04-11",NA,748,NA,NA
"243","2014-04-12",NA,749,NA,NA
"244","2014-04-13",NA,751,NA,NA
"245","2014-04-14",NA,754,NA,NA
"246","2014-04-15",NA,755,NA,NA
"247","2014-04-16",NA,756,NA,NA
"248","2014-04-17",NA,759,NA,NA
"249","2014-04-18",NA,759,NA,NA
"250","2014-04-19",NA,760,NA,NA
"251","2014-04-20",NA,760,NA,NA
"252","2014-04-21",NA,762,NA,NA
"253","2014-04-22",NA,763,NA,NA
"254","2014-04-23",NA,763,NA,NA
"255","2014-04-24",NA,764,NA,NA
"256","2014-04-25",NA,763,NA,NA
"257","2014-04-26",NA,763,NA,NA
"258","2014-04-27",NA,765,NA,NA
"259","2014-04-28",NA,765,NA,NA
"260","2014-04-29",NA,765,NA,NA
"261","2014-04-30",NA,765,NA,NA
"262","2014-05-01",NA,765,NA,NA
"263","2014-05-02",NA,767,NA,NA
"264","2014-05-03",NA,766,NA,NA
"265","2014-05-04",NA,767,NA,NA
"266","2014-05-05",NA,766,NA,NA
"267","2014-05-06",NA,766,NA,NA
"268","2014-05-07",NA,766,NA,NA
"269","2014-05-08",NA,766,NA,NA
"270","2014-05-09",NA,769,NA,NA
"271","2014-05-10",NA,782,NA,NA
"272","2014-05-11",NA,784,NA,NA
"273","2014-05-12",NA,786,NA,NA
"274","2014-05-13",NA,786,NA,NA
"275","2014-05-14",NA,789,NA,NA
"276","2014-05-15",NA,789,NA,NA
"277","2014-05-16",NA,788,NA,NA
"278","2014-05-17",NA,787,NA,NA
"279","2014-05-18",NA,789,NA,NA
"280","2014-05-19",NA,789,NA,NA
"281","2014-05-20",NA,790,NA,NA
"282","2014-05-21",NA,789,NA,NA
"283","2014-05-22",NA,789,NA,NA
"284","2014-05-23",NA,791,NA,NA
"285","2014-05-24",NA,791,NA,NA
"286","2014-05-25",NA,793,NA,NA
"287","2014-05-26",NA,793,NA,NA
"288","2014-05-27",NA,793,NA,NA
"289","2014-05-28",NA,795,NA,NA
"290","2014-05-29",NA,796,NA,NA
"291","2014-05-30",NA,798,NA,NA
"292","2014-05-31",NA,800,NA,NA
"293","2014-06-01",NA,802,NA,NA
"294","2014-06-02",NA,804,NA,NA
"295","2014-06-03",NA,830,NA,NA
"296","2014-06-04",NA,837,NA,NA
"297","2014-06-05",NA,836,NA,NA
"298","2014-06-06",NA,836,NA,NA
"299","2014-06-07",NA,837,NA,NA
"300","2014-06-08",NA,838,NA,NA
"301","2014-06-09",NA,839,NA,NA
"302","2014-06-10",NA,840,NA,NA
"303","2014-06-11",NA,844,NA,NA
"304","2014-06-12",NA,845,NA,NA
"305","2014-06-13",NA,845,NA,NA
"306","2014-06-14",NA,845,NA,NA
"307","2014-06-15",NA,846,NA,NA
"308","2014-06-16",NA,845,NA,NA
"309","2014-06-17",NA,845,NA,NA
"310","2014-06-18",NA,845,NA,NA
"311","2014-06-19",NA,849,NA,NA
"312","2014-06-20",NA,849,NA,NA
"313","2014-06-21",NA,849,NA,NA
"314","2014-06-22",NA,849,NA,NA
"315","2014-06-23",NA,850,NA,NA
"316","2014-06-24",NA,850,NA,NA
"317","2014-06-25",NA,851,NA,NA
"318","2014-06-26",NA,850,NA,NA
"319","2014-06-27",NA,850,NA,NA
"320","2014-06-28",NA,851,NA,NA
"321","2014-06-29",NA,853,NA,NA
"322","2014-06-30",NA,852,NA,NA
"323","2014-07-01",NA,852,NA,NA
"324","2014-07-02",NA,853,NA,NA
"325","2014-07-03",NA,855,NA,NA
"326","2014-07-04",NA,858,NA,NA
"327","2014-07-05",NA,858,NA,NA
"328","2014-07-06",NA,860,NA,NA
"329","2014-07-07",NA,859,NA,NA
"330","2014-07-08",NA,859,NA,NA
"331","2014-07-09",NA,860,NA,NA
"332","2014-07-10",NA,860,NA,NA
"333","2014-07-11",NA,861,NA,NA
"334","2014-07-12",NA,863,NA,NA
"335","2014-07-13",NA,863,NA,NA
"336","2014-07-14",NA,860,NA,NA
"337","2014-07-15",NA,861,NA,NA
"338","2014-07-16",NA,862,NA,NA
"339","2014-07-17",NA,865,NA,NA
"340","2014-07-18",NA,872,NA,NA
"341","2014-07-19",NA,874,NA,NA
"342","2014-07-20",NA,876,NA,NA
"343","2014-07-21",NA,876,NA,NA
"344","2014-07-22",NA,876,NA,NA
"345","2014-07-23",NA,874,NA,NA
"346","2014-07-24",NA,873,NA,NA
"347","2014-07-25",NA,874,NA,NA
"348","2014-07-26",NA,873,NA,NA
"349","2014-07-27",NA,874,NA,NA
"350","2014-07-28",NA,874,NA,NA
"351","2014-07-29",NA,874,NA,NA
"352","2014-07-30",NA,874,NA,NA
"353","2014-07-31",NA,875,NA,NA
"354","2014-08-01",NA,876,NA,NA
"355","2014-08-02",NA,874,NA,NA
"356","2014-08-03",NA,874,NA,NA
"357","2014-08-04",NA,874,NA,NA
"358","2014-08-05",NA,874,NA,NA
"359","2014-08-06",NA,876,NA,NA
"360","2014-08-07",NA,877,NA,NA
"361","2014-08-08",NA,877,NA,NA
"362","2014-08-09",NA,877,NA,NA
"363","2014-08-10",NA,877,NA,NA
"364","2014-08-11",NA,876,NA,NA
"365","2014-08-12",NA,876,NA,NA
"366","2014-08-13",NA,878,NA,NA
"367","2014-08-14",NA,878,NA,NA
"368","2014-08-15",NA,879,NA,NA
"369","2014-08-16",NA,877,NA,NA
"370","2014-08-17",NA,876,NA,NA
"371","2014-08-18",NA,876,NA,NA
"372","2014-08-19",NA,876,NA,NA
"373","2014-08-20",NA,877,NA,NA
"374","2014-08-21",NA,877,NA,NA
"375","2014-08-22",NA,878,NA,NA
"376","2014-08-23",NA,877,NA,NA
"377","2014-08-24",NA,879,NA,NA
"378","2014-08-25",NA,879,NA,NA
"379","2014-08-26",NA,879,NA,NA
"380","2014-08-27",NA,879,NA,NA
"381","2014-08-28",NA,879,NA,NA
"382","2014-08-29",NA,880,NA,NA
"383","2014-08-30",NA,881,NA,NA
"384","2014-08-31",NA,881,NA,NA
"385","2014-09-01",NA,884,NA,NA
"386","2014-09-02",NA,884,NA,NA
"387","2014-09-03",NA,885,NA,NA
"388","2014-09-04",NA,885,NA,NA
"389","2014-09-05",NA,885,NA,NA
"390","2014-09-06",NA,884,NA,NA
"391","2014-09-07",NA,885,NA,NA
"392","2014-09-08",NA,886,NA,NA
"393","2014-09-09",NA,885,NA,NA
"394","2014-09-10",NA,885,NA,NA
"395","2014-09-11",NA,885,NA,NA
"396","2014-09-12",NA,886,NA,NA
"397","2014-09-13",NA,887,NA,NA
"398","2014-09-14",NA,889,NA,NA
"399","2014-09-15",NA,889,NA,NA
"400","2014-09-16",NA,888,NA,NA
"401","2014-09-17",NA,888,NA,NA
"402","2014-09-18",NA,889,NA,NA
"403","2014-09-19",NA,889,NA,NA
"404","2014-09-20",NA,888,NA,NA
"405","2014-09-21",NA,888,NA,NA
"406","2014-09-22",NA,890,NA,NA
"407","2014-09-23",NA,890,NA,NA
"408","2014-09-24",NA,891,NA,NA
"409","2014-09-25",NA,891,NA,NA
"410","2014-09-26",NA,891,NA,NA
"411","2014-09-27",NA,901,NA,NA
"412","2014-09-28",NA,900,NA,NA
"413","2014-09-29",NA,899,NA,NA
"414","2014-09-30",NA,899,NA,NA
"415","2014-10-01",NA,900,NA,NA
"416","2014-10-02",NA,900,NA,NA
"417","2014-10-03",NA,900,NA,NA
"418","2014-10-04",NA,901,NA,NA
"419","2014-10-05",NA,903,NA,NA
"420","2014-10-06",NA,903,NA,NA
"421","2014-10-07",NA,903,NA,NA
"422","2014-10-08",NA,905,NA,NA
"423","2014-10-09",NA,906,NA,NA
"424","2014-10-10",NA,906,NA,NA
"425","2014-10-11",NA,906,NA,NA
